"","Open","High","Low","Close","Volume","Adjusted","Stock","Sector","Date"
"30671",1152,1179.910034,1151.569946,1179.26001,1501600,1179.26001,"GOOGL","Technology","2019-03-11"
"30681",1182.300049,1205.709961,1182.300049,1197.25,2111000,1197.25,"GOOGL","Technology","2019-03-12"
"30691",1205.930054,1207.119995,1197.910034,1199.060059,1294400,1199.060059,"GOOGL","Technology","2019-03-13"
"30701",1199.02002,1204.699951,1191.22998,1192.530029,1365100,1192.530029,"GOOGL","Technology","2019-03-14"
"30711",1198,1201.719971,1187.01001,1190.300049,2594300,1190.300049,"GOOGL","Technology","2019-03-15"
"30721",1189.689941,1194.949951,1181.47998,1188.550049,1222100,1188.550049,"GOOGL","Technology","2019-03-18"
"30731",1191.719971,1203.410034,1189.459961,1202.459961,1489400,1202.459961,"GOOGL","Technology","2019-03-19"
"30741",1201.400024,1229.98999,1199.589966,1226.430054,2075400,1226.430054,"GOOGL","Technology","2019-03-20"
"30751",1220,1236.439941,1216.579956,1236.130005,1407500,1236.130005,"GOOGL","Technology","2019-03-21"
"30761",1228.849976,1233.630005,1206,1207.650024,1721100,1207.650024,"GOOGL","Technology","2019-03-22"
"30771",1199.560059,1209.439941,1190,1197.380005,1378800,1197.380005,"GOOGL","Technology","2019-03-25"
"30781",1205.189941,1207.650024,1181.76001,1189.839966,1537600,1189.839966,"GOOGL","Technology","2019-03-26"
"30791",1191.920044,1191.920044,1164.22998,1178.01001,1471400,1178.01001,"GOOGL","Technology","2019-03-27"
"30801",1175.5,1177.25,1163.430054,1172.27002,1120100,1172.27002,"GOOGL","Technology","2019-03-28"
"30811",1180.180054,1183.969971,1166.380005,1176.890015,1544500,1176.890015,"GOOGL","Technology","2019-03-29"
"30821",1187.540039,1200.199951,1186.359985,1198.97998,1385300,1198.97998,"GOOGL","Technology","2019-04-01"
"30831",1200.050049,1205.810059,1191.23999,1205.540039,914400,1205.540039,"GOOGL","Technology","2019-04-02"
"30841",1212.699951,1220.599976,1205.079956,1210.810059,1109600,1210.810059,"GOOGL","Technology","2019-04-03"
"30851",1211.290039,1220.550049,1209.040039,1219.449951,1051100,1219.449951,"GOOGL","Technology","2019-04-04"
"30861",1219.300049,1220.390015,1210.030029,1211.449951,1000600,1211.449951,"GOOGL","Technology","2019-04-05"
"30871",1211.109985,1213.949951,1204.699951,1208.280029,1087500,1208.280029,"GOOGL","Technology","2019-04-08"
"30881",1201.890015,1207.150024,1198.380005,1202.689941,983400,1202.689941,"GOOGL","Technology","2019-04-09"
"30891",1205.089966,1208.939941,1200.660034,1206.449951,775500,1206.449951,"GOOGL","Technology","2019-04-10"
